person_uuid,org_uuid,job_uuid,started_on,ended_on,is_current,title,job_role,executive_role,advisory_role
000d67ea-22f2-f543-f29b-9275f1f402ce,d845782e-8569-2d4e-fd5e-f38817080fb7,a5a1342d-791f-8f79-0828-0da8a038deca,2012-01-01 00:00:00,,t,"Advisor, Investor",f,t,t
000d67ea-22f2-f543-f29b-9275f1f402ce,a54a855b-5521-1b77-c3fb-f8fc9a8b2d5d,8f2231e3-30ce-ed82-6b89-2fe5b1c86fbd,,2010-01-01 00:00:00,f,Co - Founder / CEO,t,f,f
00016334-9af9-1bae-0737-b5c0e906fcad,a325d318-5167-525b-f61d-2ab89d6b05c9,f5a7210a-d5a6-8387-47d3-89104b3f9bd4,,,f,CPA,t,f,f
000d67ea-22f2-f543-f29b-9275f1f402ce,92814c59-1917-6aee-5459-d9982a68d302,7a05880c-05d1-39e8-f995-a146cc567d1e,,,f,Chairman of the Board,f,f,t
000ec1c0-05c4-451e-c622-fa1cabaefa4e,0d019c21-a294-7bbc-9d4a-d0517892ad98,658297c3-9dae-2662-4b1c-e8e7b9c4e42a,,,t,Advisor to President & CEO,t,t,f
000d67ea-22f2-f543-f29b-9275f1f402ce,92814c59-1917-6aee-5459-d9982a68d302,5b8c8a64-5477-3ce0-9bef-118b696321ba,,,t,Angel Investor,f,f,t
000497ac-d3f9-7969-6c8b-b4050c8efc04,357bf861-fc20-564b-a864-b54dd2619d0e,31290e37-0401-1a9e-396f-36c3571ebba9,2014-12-22 00:00:00,,t,CEO & Co-founder,t,t,f
000a676b-36e1-a0b6-bfb4-8f9b0b40d87e,b28efe40-4b03-cc60-c8d3-46f31fc4e067,dd686265-ebd0-97bc-afbc-b89f60ac4495,2013-04-05 00:00:00,,t,CEO & Funder,t,t,f
000963b2-ab49-5b8a-2662-de7ee3df739e,57d6ca79-1e7a-ea92-2d17-be2d26f52f94,66d03ae6-ef8a-d9a7-d823-7ffcec62ca13,2012-06-10 00:00:00,2012-12-16 00:00:00,f,Manager Assistant,t,t,f
000bb698-eb55-8649-f557-a786d81cd79e,d13e4f15-e17b-a816-7948-be7cafbc8bec,30df342e-1e22-83ac-e4ea-764df29a4ba4,1984-03-07 00:00:00,2012-11-11 00:00:00,f,Agedwoods,t,f,f
000ec1c0-05c4-451e-c622-fa1cabaefa4e,b6474ab8-1cea-e73c-54ba-36c08e357917,c4484a86-c7d9-8b96-596c-8c2782d08ad9,,,f,Stringer for the Associated Press,t,f,f
000ec1c0-05c4-451e-c622-fa1cabaefa4e,b6474ab8-1cea-e73c-54ba-36c08e357917,56e859f3-6bd1-4825-d51f-32f43ac3d9d7,,,t,"Editorial Director, UCLA Daily Bruin",t,f,f
000407db-3ad5-2703-a4cb-3db0749dfb99,e0f91ac0-8e46-f4cf-96af-0a1549ad8a6e,2beb8c33-a3bc-ef63-cbe2-99a7d20981e5,,,t,Founder,t,t,f
00027005-5db2-d40b-f877-d7a0fd6d288c,a3e3fbb6-df13-8e80-f595-1f2692f9c051,fc5df271-4665-e7cf-9559-6023dfba8c6d,2004-01-23 00:00:00,,t,Technical Director / Host,t,f,f
000e933b-56f0-1c0f-4d1c-12ae09c1346f,b212dfb7-e7cf-bc0e-82ec-7d3edd8287f1,4424f618-d785-4224-23b3-5d9d13755e3d,2009-07-06 00:00:00,,t,SEO Analyst,t,f,f
00053820-3069-bf8e-e62b-3ba5c80b74a9,2ddb66ed-5eb3-0954-dc7c-8f36b064f05b,27ac4d67-6caf-becc-e491-d0d998ad9018,2013-02-05 00:00:00,,t,"Founder, CEO",t,t,f
